player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,team,team_name,team_logo,team_color,team_color2,team_roster,height,weight,college;
00-0003292,,Kerry Collins,QB,QB,,TEN,2010.0,2.0,REG,PIT,17.0,25.0,149.0,1.0,1.0,2.0,5.0,2.0,1.0,220.0,25.0,9.0,0.5432696,1.0,0.67727274,0.13178839,2.0,-1.0,0.0,0.0,0.0,0.0,-2.3209307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,7.86,7.86,TEN,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,#002244,#4B92DB,TEN,77.0,247.0,;
00-0003292,,Kerry Collins,QB,QB,,TEN,2010.0,6.0,REG,JAX,11.0,16.0,110.0,1.0,0.0,0.0,-0.0,0.0,0.0,89.0,46.0,7.0,9.27028,0.0,1.235955,0.27095777,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,8.3,8.3,TEN,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,#002244,#4B92DB,TEN,77.0,247.0,;
00-0003292,,Kerry Collins,QB,QB,,TEN,2010.0,7.0,REG,PHI,17.0,31.0,276.0,3.0,2.0,3.0,23.0,1.0,1.0,393.0,59.0,8.0,2.1563387,0.0,0.70229006,0.12713988,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,17.04,17.04,TEN,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,#002244,#4B92DB,TEN,77.0,247.0,;
00-0003292,,Kerry Collins,QB,QB,,TEN,2010.0,8.0,REG,LAC,8.0,15.0,52.0,0.0,0.0,0.0,-0.0,0.0,0.0,179.0,20.0,2.0,-3.7248635,0.0,0.2905028,-0.004967939,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,2.08,2.08,TEN,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,#002244,#4B92DB,TEN,77.0,247.0,;
00-0003292,,Kerry Collins,QB,QB,,TEN,2010.0,10.0,REG,MIA,9.0,20.0,51.0,0.0,0.0,0.0,-0.0,0.0,0.0,168.0,23.0,2.0,-6.4033847,0.0,0.30357143,-0.085113734,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,2.04,2.04,TEN,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,#002244,#4B92DB,TEN,77.0,247.0,;
00-0003292,,Kerry Collins,QB,QB,,TEN,2010.0,13.0,REG,JAX,14.0,32.0,169.0,0.0,2.0,1.0,6.0,0.0,0.0,359.0,41.0,8.0,-7.757033,0.0,0.4707521,-0.037488766,1.0,4.0,0.0,0.0,0.0,0.0,-0.1628002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,3.16,3.16,TEN,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,#002244,#4B92DB,TEN,77.0,247.0,;
00-0003292,,Kerry Collins,QB,QB,,TEN,2010.0,14.0,REG,IND,28.0,39.0,244.0,3.0,0.0,0.0,-0.0,0.0,0.0,207.0,109.0,16.0,14.553111,0.0,1.178744,0.22026715,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,21.76,21.76,TEN,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,#002244,#4B92DB,TEN,77.0,247.0,;
00-0003292,,Kerry Collins,QB,QB,,TEN,2010.0,15.0,REG,HOU,14.0,24.0,237.0,2.0,1.0,3.0,25.0,0.0,0.0,330.0,38.0,12.0,11.256248,0.0,0.7181818,0.24097171,2.0,-2.0,0.0,0.0,0.0,0.0,-1.6361516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,15.28,15.28,TEN,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,#002244,#4B92DB,TEN,77.0,247.0,;
00-0003292,,Kerry Collins,QB,QB,,TEN,2010.0,16.0,REG,KC,14.0,37.0,235.0,2.0,2.0,3.0,22.0,0.0,0.0,517.0,31.0,12.0,-10.934072,0.0,0.45454547,-0.078801565,2.0,-1.0,0.0,1.0,0.0,0.0,-1.3653952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,13.3,13.3,TEN,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,#002244,#4B92DB,TEN,77.0,247.0,;
00-0003292,,Kerry Collins,QB,QB,,TEN,2010.0,17.0,REG,IND,28.0,39.0,300.0,2.0,0.0,1.0,10.0,0.0,0.0,261.0,145.0,14.0,15.560278,0.0,1.1494253,0.19492593,2.0,2.0,0.0,1.0,1.0,1.0,-3.844895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,18.2,18.2,TEN,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,#002244,#4B92DB,TEN,77.0,247.0,;
